NSString Property Observation (nonatomic),3,150000,150000,819
NSString Property Observation (nonatomic),3,160000,160000,844
NSString Property Observation (nonatomic),3,170000,170000,894
NSString Property Observation (nonatomic),3,180000,180000,942
NSString Property Observation (nonatomic),3,190000,190000,993
NSString Property Observation (nonatomic),3,200000,200000,1048
NSString Property Observation (nonatomic),3,210000,210000,1090
NSString Property Observation (nonatomic),3,220000,220000,1143
NSString Property Observation (nonatomic),3,230000,230000,1197
NSString Property Observation (nonatomic),3,240000,240000,1240
NSString Property Observation (nonatomic),3,250000,250000,1292
NSString Property Observation (nonatomic),3,260000,260000,1343
NSString Property Observation (nonatomic),3,270000,270000,1405
NSString Property Observation (nonatomic),3,280000,280000,1461
NSString Property Observation (nonatomic),3,290000,290000,1504
NSString Property Observation (nonatomic),3,300000,300000,1564
NSString Property Observation (nonatomic),1,150000,150000,489
NSString Property Observation (nonatomic),1,160000,160000,524
NSString Property Observation (nonatomic),1,170000,170000,557
NSString Property Observation (nonatomic),1,180000,180000,590
NSString Property Observation (nonatomic),1,190000,190000,626
NSString Property Observation (nonatomic),1,200000,200000,653
NSString Property Observation (nonatomic),1,210000,210000,681
NSString Property Observation (nonatomic),1,220000,220000,716
NSString Property Observation (nonatomic),1,230000,230000,766
NSString Property Observation (nonatomic),1,240000,240000,784
NSString Property Observation (nonatomic),1,250000,250000,818
NSString Property Observation (nonatomic),1,260000,260000,847
NSString Property Observation (nonatomic),1,270000,270000,878
NSString Property Observation (nonatomic),1,280000,280000,915
NSString Property Observation (nonatomic),1,290000,290000,953
NSString Property Observation (nonatomic),1,300000,300000,977
NSString Property Observation (nonatomic),2,150000,150000,483
NSString Property Observation (nonatomic),2,160000,160000,515
NSString Property Observation (nonatomic),2,170000,170000,547
NSString Property Observation (nonatomic),2,180000,180000,573
NSString Property Observation (nonatomic),2,190000,190000,602
NSString Property Observation (nonatomic),2,200000,200000,630
NSString Property Observation (nonatomic),2,210000,210000,667
NSString Property Observation (nonatomic),2,220000,220000,706
NSString Property Observation (nonatomic),2,230000,230000,742
NSString Property Observation (nonatomic),2,240000,240000,780
NSString Property Observation (nonatomic),2,250000,250000,814
NSString Property Observation (nonatomic),2,260000,260000,827
NSString Property Observation (nonatomic),2,270000,270000,861
NSString Property Observation (nonatomic),2,280000,280000,891
NSString Property Observation (nonatomic),2,290000,290000,939
NSString Property Observation (nonatomic),2,300000,300000,951
NSInteger Property Observation (nonatomic),3,150000,150000,792
NSInteger Property Observation (nonatomic),3,160000,160000,843
NSInteger Property Observation (nonatomic),3,170000,170000,896
NSInteger Property Observation (nonatomic),3,180000,180000,952
NSInteger Property Observation (nonatomic),3,190000,190000,1004
NSInteger Property Observation (nonatomic),3,200000,200000,1030
NSInteger Property Observation (nonatomic),3,210000,210000,1112
NSInteger Property Observation (nonatomic),3,220000,220000,1138
NSInteger Property Observation (nonatomic),3,230000,230000,1212
NSInteger Property Observation (nonatomic),3,240000,240000,1266
NSInteger Property Observation (nonatomic),3,250000,250000,1316
NSInteger Property Observation (nonatomic),3,260000,260000,1363
NSInteger Property Observation (nonatomic),3,270000,270000,1414
NSInteger Property Observation (nonatomic),3,280000,280000,1461
NSInteger Property Observation (nonatomic),3,290000,290000,1517
NSInteger Property Observation (nonatomic),3,300000,300000,1580
NSInteger Property Observation (nonatomic),1,150000,150000,511
NSInteger Property Observation (nonatomic),1,160000,160000,546
NSInteger Property Observation (nonatomic),1,170000,170000,581
NSInteger Property Observation (nonatomic),1,180000,180000,614
NSInteger Property Observation (nonatomic),1,190000,190000,649
NSInteger Property Observation (nonatomic),1,200000,200000,684
NSInteger Property Observation (nonatomic),1,210000,210000,723
NSInteger Property Observation (nonatomic),1,220000,220000,749
NSInteger Property Observation (nonatomic),1,230000,230000,784
NSInteger Property Observation (nonatomic),1,240000,240000,823
NSInteger Property Observation (nonatomic),1,250000,250000,855
NSInteger Property Observation (nonatomic),1,260000,260000,889
NSInteger Property Observation (nonatomic),1,270000,270000,925
NSInteger Property Observation (nonatomic),1,280000,280000,958
NSInteger Property Observation (nonatomic),1,290000,290000,989
NSInteger Property Observation (nonatomic),1,300000,300000,1030
NSInteger Property Observation (nonatomic),2,150000,150000,504
NSInteger Property Observation (nonatomic),2,160000,160000,534
NSInteger Property Observation (nonatomic),2,170000,170000,571
NSInteger Property Observation (nonatomic),2,180000,180000,605
NSInteger Property Observation (nonatomic),2,190000,190000,633
NSInteger Property Observation (nonatomic),2,200000,200000,668
NSInteger Property Observation (nonatomic),2,210000,210000,701
NSInteger Property Observation (nonatomic),2,220000,220000,731
NSInteger Property Observation (nonatomic),2,230000,230000,765
NSInteger Property Observation (nonatomic),2,240000,240000,798
NSInteger Property Observation (nonatomic),2,250000,250000,837
NSInteger Property Observation (nonatomic),2,260000,260000,871
NSInteger Property Observation (nonatomic),2,270000,270000,901
NSInteger Property Observation (nonatomic),2,280000,280000,936
NSInteger Property Observation (nonatomic),2,290000,290000,970
NSInteger Property Observation (nonatomic),2,300000,300000,1000
