NSString Property Observation (nonatomic),3,150000,150000,781
NSString Property Observation (nonatomic),3,160000,160000,821
NSString Property Observation (nonatomic),3,170000,170000,866
NSString Property Observation (nonatomic),3,180000,180000,924
NSString Property Observation (nonatomic),3,190000,190000,970
NSString Property Observation (nonatomic),3,200000,200000,1022
NSString Property Observation (nonatomic),3,210000,210000,1066
NSString Property Observation (nonatomic),3,220000,220000,1122
NSString Property Observation (nonatomic),3,230000,230000,1169
NSString Property Observation (nonatomic),3,240000,240000,1233
NSString Property Observation (nonatomic),3,250000,250000,1281
NSString Property Observation (nonatomic),3,260000,260000,1332
NSString Property Observation (nonatomic),3,270000,270000,1382
NSString Property Observation (nonatomic),3,280000,280000,1432
NSString Property Observation (nonatomic),3,290000,290000,1536
NSString Property Observation (nonatomic),3,300000,300000,1636
NSString Property Observation (nonatomic),1,150000,150000,488
NSString Property Observation (nonatomic),1,160000,160000,517
NSString Property Observation (nonatomic),1,170000,170000,556
NSString Property Observation (nonatomic),1,180000,180000,592
NSString Property Observation (nonatomic),1,190000,190000,624
NSString Property Observation (nonatomic),1,200000,200000,648
NSString Property Observation (nonatomic),1,210000,210000,689
NSString Property Observation (nonatomic),1,220000,220000,723
NSString Property Observation (nonatomic),1,230000,230000,756
NSString Property Observation (nonatomic),1,240000,240000,784
NSString Property Observation (nonatomic),1,250000,250000,820
NSString Property Observation (nonatomic),1,260000,260000,856
NSString Property Observation (nonatomic),1,270000,270000,889
NSString Property Observation (nonatomic),1,280000,280000,923
NSString Property Observation (nonatomic),1,290000,290000,952
NSString Property Observation (nonatomic),1,300000,300000,985
NSString Property Observation (nonatomic),2,150000,150000,481
NSString Property Observation (nonatomic),2,160000,160000,517
NSString Property Observation (nonatomic),2,170000,170000,547
NSString Property Observation (nonatomic),2,180000,180000,579
NSString Property Observation (nonatomic),2,190000,190000,611
NSString Property Observation (nonatomic),2,200000,200000,645
NSString Property Observation (nonatomic),2,210000,210000,677
NSString Property Observation (nonatomic),2,220000,220000,708
NSString Property Observation (nonatomic),2,230000,230000,741
NSString Property Observation (nonatomic),2,240000,240000,773
NSString Property Observation (nonatomic),2,250000,250000,806
NSString Property Observation (nonatomic),2,260000,260000,836
NSString Property Observation (nonatomic),2,270000,270000,873
NSString Property Observation (nonatomic),2,280000,280000,909
NSString Property Observation (nonatomic),2,290000,290000,942
NSString Property Observation (nonatomic),2,300000,300000,969
NSInteger Property Observation (nonatomic),3,150000,150000,802
NSInteger Property Observation (nonatomic),3,160000,160000,854
NSInteger Property Observation (nonatomic),3,170000,170000,908
NSInteger Property Observation (nonatomic),3,180000,180000,960
NSInteger Property Observation (nonatomic),3,190000,190000,1012
NSInteger Property Observation (nonatomic),3,200000,200000,1062
NSInteger Property Observation (nonatomic),3,210000,210000,1118
NSInteger Property Observation (nonatomic),3,220000,220000,1173
NSInteger Property Observation (nonatomic),3,230000,230000,1224
NSInteger Property Observation (nonatomic),3,240000,240000,1278
NSInteger Property Observation (nonatomic),3,250000,250000,1326
NSInteger Property Observation (nonatomic),3,260000,260000,1384
NSInteger Property Observation (nonatomic),3,270000,270000,1437
NSInteger Property Observation (nonatomic),3,280000,280000,1485
NSInteger Property Observation (nonatomic),3,290000,290000,1545
NSInteger Property Observation (nonatomic),3,300000,300000,1597
NSInteger Property Observation (nonatomic),1,150000,150000,526
NSInteger Property Observation (nonatomic),1,160000,160000,552
NSInteger Property Observation (nonatomic),1,170000,170000,588
NSInteger Property Observation (nonatomic),1,180000,180000,618
NSInteger Property Observation (nonatomic),1,190000,190000,655
NSInteger Property Observation (nonatomic),1,200000,200000,687
NSInteger Property Observation (nonatomic),1,210000,210000,723
NSInteger Property Observation (nonatomic),1,220000,220000,761
NSInteger Property Observation (nonatomic),1,230000,230000,792
NSInteger Property Observation (nonatomic),1,240000,240000,830
NSInteger Property Observation (nonatomic),1,250000,250000,867
NSInteger Property Observation (nonatomic),1,260000,260000,904
NSInteger Property Observation (nonatomic),1,270000,270000,938
NSInteger Property Observation (nonatomic),1,280000,280000,971
NSInteger Property Observation (nonatomic),1,290000,290000,995
NSInteger Property Observation (nonatomic),1,300000,300000,1035
NSInteger Property Observation (nonatomic),2,150000,150000,504
NSInteger Property Observation (nonatomic),2,160000,160000,541
NSInteger Property Observation (nonatomic),2,170000,170000,574
NSInteger Property Observation (nonatomic),2,180000,180000,610
NSInteger Property Observation (nonatomic),2,190000,190000,642
NSInteger Property Observation (nonatomic),2,200000,200000,676
NSInteger Property Observation (nonatomic),2,210000,210000,713
NSInteger Property Observation (nonatomic),2,220000,220000,752
NSInteger Property Observation (nonatomic),2,230000,230000,776
NSInteger Property Observation (nonatomic),2,240000,240000,812
NSInteger Property Observation (nonatomic),2,250000,250000,843
NSInteger Property Observation (nonatomic),2,260000,260000,877
NSInteger Property Observation (nonatomic),2,270000,270000,913
NSInteger Property Observation (nonatomic),2,280000,280000,948
NSInteger Property Observation (nonatomic),2,290000,290000,987
NSInteger Property Observation (nonatomic),2,300000,300000,1010
