KVC Mediated Array Observation (nonatomic) - Removing Objects,3,150000,150000,799
KVC Mediated Array Observation (nonatomic) - Adding Objects,1,150000,150000,800
KVC Mediated Array Observation (nonatomic) - Removing Objects,1,150000,150000,284
KVC Mediated Array Observation (nonatomic) - Adding Objects,2,150000,150000,269
KVC Mediated Array Observation (nonatomic) - Removing Objects,2,150000,150000,790
Proxy Set Observation (nonatomic) - Adding Objects,3,15000,15000,6843
Proxy Set Observation (nonatomic) - Removing Objects,3,15000,15000,13880
Proxy Set Observation (nonatomic) - Adding Objects,1,15000,15000,6854
Proxy Set Observation (nonatomic) - Removing Objects,1,15000,15000,7577
Proxy Set Observation (nonatomic) - Adding Objects,2,15000,15000,58
Proxy Set Observation (nonatomic) - Removing Objects,2,15000,15000,6126
Proxy Array Observation (nonatomic) - Adding Objects,3,150000,150000,634
Proxy Array Observation (nonatomic) - Removing Objects,3,150000,150000,633
Proxy Array Observation (nonatomic) - Adding Objects,1,150000,150000,635
Proxy Array Observation (nonatomic) - Removing Objects,1,150000,150000,316
Proxy Array Observation (nonatomic) - Adding Objects,2,150000,150000,302
Proxy Array Observation (nonatomic) - Removing Objects,2,150000,150000,617
KVC Mediated Array Observation (nonatomic) - Adding Objects,3,150000,150000,806
KVC Mediated Array Observation (nonatomic) - Removing Objects,3,150000,150000,825
KVC Mediated Array Observation (nonatomic) - Adding Objects,1,150000,150000,796
KVC Mediated Array Observation (nonatomic) - Removing Objects,1,150000,150000,283
KVC Mediated Array Observation (nonatomic) - Adding Objects,2,150000,150000,268
KVC Mediated Array Observation (nonatomic) - Removing Objects,2,150000,150000,788
Proxy Set Observation (nonatomic) - Adding Objects,3,15000,15000,7136
Proxy Set Observation (nonatomic) - Removing Objects,3,15000,15000,14332
Proxy Set Observation (nonatomic) - Adding Objects,1,15000,15000,6923
Proxy Set Observation (nonatomic) - Removing Objects,1,15000,15000,7531
Proxy Set Observation (nonatomic) - Adding Objects,2,15000,15000,57
